,Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
24,24,Hyundai Grand i10,5.41,21239,Petrol,Manual,1st Owner,2018,1197,5
25,25,Maruti Alto K10,2.23,62361,Petrol,Manual,1st Owner,2014,998,5
26,26,Hyundai Verna 1.6,5.88,79329,Petrol,Manual,2nd Owner,2015,1591,5
27,27,Hyundai Tucson GLS,22.78,11945,Petrol,Automatic,1st Owner,2021,1999,5
28,28,Maruti Swift Dzire,6.12,51324,Petrol,Manual,1st Owner,2018,1197,5
29,29,Nissan Magnite XV,7.44,5717,Petrol,Manual,1st Owner,2021,999,5
30,30,Honda City i,8.39,46417,Petrol,Automatic,1st Owner,2016,1497,5
31,31,Honda Amaze S,4.2,100161,Petrol,Manual,1st Owner,2015,1198,5
32,32,Hyundai Grand i10,4.91,35424,Petrol,Manual,1st Owner,2016,1197,5
33,33,Hyundai EON Era,2.93,51085,Petrol,Manual,1st Owner,2017,814,5
34,34,Maruti Alto 800,2.98,30983,Petrol,Manual,1st Owner,2016,796,5
35,35,Renault KWID RXL,2.6,32681,Petrol,Manual,1st Owner,2016,799,5
36,36,Hyundai EON Magna,2.38,57581,Petrol,Manual,2nd Owner,2014,814,5
37,37,Honda Jazz 1.2,6.05,39821,Petrol,Automatic,1st Owner,2016,1199,5
38,38,Maruti Alto 800,3.23,21186,Petrol,Manual,1st Owner,2018,796,5
39,39,Renault KWID RXL,3.26,34972,Petrol,Manual,1st Owner,2018,799,5
40,40,Honda Amaze S,4.21,46623,Petrol,Manual,2nd Owner,2015,1198,5
41,41,Kia Seltos GTX,15.53,18557,Petrol,Manual,1st Owner,2019,1353,5
42,42,Jeep Compass 2.0,12.43,58463,Diesel,Manual,1st Owner,2017,1956,5
43,43,MG Hector Plus,18.5,5000,Petrol,Automatic,1st Owner,2020,1451,6
44,44,Tata Harrier XZ,15.9,66000,Diesel,Manual,1st Owner,2019,1956,5
45,45,Renault Duster Petrol,8.9,14000,Petrol,Automatic,1st Owner,2019,1498,5
46,46,BMW 5 Series,43.0,61000,Diesel,Automatic,1st Owner,2019,1995,5
47,47,Hyundai i20 1.4,6.0,65392,Diesel,Manual,1st Owner,2017,1396,5
48,48,Mercedes-Benz CLA 200,27.0,37000,Petrol,Automatic,1st Owner,2018,1991,5
49,49,Maruti XL6 Zeta,10.9,9000,Petrol,Manual,1st Owner,2020,1462,6
50,50,Hyundai Grand i10,5.9,32000,Petrol,Automatic,1st Owner,2017,1197,5
51,51,Mahindra XUV500 W8,6.5,68000,Diesel,Manual,1st Owner,2012,2179,7
52,52,Hyundai i20 Magna,6.75,13000,Petrol,Manual,1st Owner,2017,1197,5
53,53,Datsun RediGO AMT,3.7,30000,Petrol,Automatic,1st Owner,2020,999,5
54,54,Honda Brio VX,5.25,34300,Petrol,Automatic,1st Owner,2015,1198,5
55,55,Honda City i,7.25,45000,Petrol,Automatic,1st Owner,2015,1497,5
56,56,Toyota Corolla Altis,8.5,37000,Petrol,Manual,1st Owner,2014,1798,5
57,57,Jeep Compass 1.4,14.0,50000,Petrol,Manual,1st Owner,2018,1368,5
58,58,Volvo XC60 D4,15.0,105241,Diesel,Automatic,1st Owner,2015,1985,5
59,59,Toyota Corolla Altis,13.9,54000,Petrol,Manual,1st Owner,2019,1798,5
60,60,Hyundai Verna VTVT,8.9,19600,Petrol,Manual,1st Owner,2019,1591,5
61,61,Audi A4 2.0,16.9,48000,Diesel,Automatic,1st Owner,2015,1968,5
62,62,Audi Q3 2.0,13.9,69500,Diesel,Automatic,1st Owner,2012,1968,5
63,63,BMW 5 Series,15.0,71000,Diesel,Automatic,2nd Owner,2012,2993,5
64,64,Porsche Cayenne S,45.0,48894,Diesel,Automatic,1st Owner,2014,4134,5
65,65,Maruti A-Star Zxi,1.53,46257,Petrol,Manual,3rd Owner,2008,998,5
66,66,Ford Ecosport 1.5,5.09,78264,Diesel,Manual,2nd Owner,2015,1498,5
67,67,Honda Jazz 1.2,5.46,42451,Petrol,Automatic,1st Owner,2016,1199,5
68,68,Volkswagen Vento Diesel,2.73,131861,Diesel,Manual,2nd Owner,2012,1598,5
69,69,Maruti Wagon R,1.8,128004,Petrol,Manual,2nd Owner,2012,998,5
70,70,Chevrolet Beat Diesel,1.1,150349,Diesel,Manual,1st Owner,2012,936,5
71,71,Maruti Wagon R,3.69,29033,Petrol,Manual,1st Owner,2017,998,5
72,72,BMW 3 Series,13.5,99000,Diesel,Automatic,1st Owner,2015,1995,5
73,73,Renault KWID RXL,2.75,47000,Petrol,Manual,1st Owner,2018,799,5
74,74,Maruti Baleno 1.3,5.5,35000,Diesel,Manual,1st Owner,2018,1248,5
75,75,Mercedes-Benz C-Class C,9.75,58000,Diesel,Automatic,1st Owner,2013,2143,5
76,76,Honda City S,4.0,48000,Petrol,Manual,1st Owner,2012,1497,5
77,77,Honda Amaze VX,4.75,45000,Petrol,Automatic,1st Owner,2014,1198,5
78,78,Hyundai EON D,1.9,60000,Petrol,Manual,2nd Owner,2012,814,5
79,79,Hyundai i20 Magna,4.65,23000,Petrol,Manual,1st Owner,2014,1197,5
80,80,Hyundai Grand i10,4.6,45000,Petrol,Manual,1st Owner,2019,1197,5
81,81,Hyundai i10 Magna,3.25,45000,Petrol,Manual,1st Owner,2014,1086,5
82,82,Maruti Ertiga VDI,5.25,58000,Diesel,Manual,1st Owner,2013,1248,7
83,83,Hyundai i20 1.2,6.25,48000,Petrol,Manual,1st Owner,2018,1197,5
84,84,BMW 2 Series,40.0,18000,Petrol,Automatic,1st Owner,2021,1998,5
85,85,Skoda Kushaq 1.0,16.75,16000,Petrol,Automatic,1st Owner,2022,999,5
86,86,Honda City i-VTEC,10.0,24000,Petrol,Manual,1st Owner,2019,1497,5
87,87,MG Hector Plus,17.9,36000,Diesel,Manual,1st Owner,2021,1956,7
88,88,Jeep Compass 1.4,13.9,35000,Petrol,Automatic,2nd Owner,2019,1368,5
89,89,Honda Amaze E,6.1,64000,Petrol,Manual,1st Owner,2019,1199,5
90,90,Maruti Vitara Brezza,7.75,72000,Diesel,Manual,1st Owner,2017,1248,5
91,91,Hyundai Grand i10,4.6,29900,Petrol,Manual,1st Owner,2015,1197,5
92,92,Mahindra XUV700 AX5,20.91,20000,Diesel,Automatic,1st Owner,2022,2198,5
93,93,Tata Indigo VX,3.1,160000,Diesel,Manual,1st Owner,2013,1396,5
94,94,Tata Tiago XZ,5.65,16000,Petrol,Manual,1st Owner,2020,1199,5
95,95,Honda WR-V i-VTEC,9.0,17000,Petrol,Manual,1st Owner,2019,1199,5
96,96,Lexus NX 300h,42.0,111000,Petrol,Automatic,1st Owner,2018,2499,5
97,97,Mercedes-Benz M-Class ML,28.5,38000,Diesel,Automatic,2nd Owner,2015,2143,5
98,98,Honda Jazz 1.5,5.5,32000,Diesel,Manual,1st Owner,2015,1498,5
99,99,Volkswagen Polo 1.2,4.5,67000,Petrol,Manual,1st Owner,2015,1198,5
100,100,Ford Ecosport 1.5,6.75,50000,Petrol,Automatic,1st Owner,2016,1496,5
101,101,Maruti Swift VDI,1.8,110000,Diesel,Manual,2nd Owner,2010,1248,5
102,102,Hyundai Verna VTVT,7.75,51000,Petrol,Automatic,1st Owner,2017,1591,5
103,103,Hyundai Grand i10,5.5,83000,Diesel,Manual,1st Owner,2017,1186,5
104,104,Audi Q3 35,24.0,38000,Diesel,Automatic,1st Owner,2016,1968,5
105,105,Hyundai Creta 1.6,13.25,58000,Diesel,Automatic,1st Owner,2018,1582,5
106,106,Hyundai Creta 1.6,11.0,36000,Petrol,Manual,1st Owner,2018,1591,5
107,107,Volkswagen Vento 1.0,10.5,23500,Petrol,Automatic,1st Owner,2020,999,5
108,108,Hyundai i20 1.2,6.5,60000,Petrol,Manual,1st Owner,2017,1197,5
109,109,Skoda Superb LK,25.0,18000,Petrol,Automatic,1st Owner,2018,1798,5
110,110,Honda Amaze V,6.0,36500,Petrol,Manual,1st Owner,2017,1199,5
111,111,Skoda Superb Sportline,31.0,25000,Petrol,Automatic,1st Owner,2021,1984,5
112,112,Kia Seltos HTX,15.75,20500,Petrol,Automatic,1st Owner,2020,1497,5
113,113,Honda Amaze S,4.5,30000,Petrol,Manual,1st Owner,2015,1198,5
114,114,Hyundai i20 Magna,5.9,59000,Petrol,Manual,1st Owner,2017,1197,5
115,115,BMW X1 sDrive,14.5,80000,Diesel,Automatic,1st Owner,2014,1995,5
116,116,Hyundai Xcent 1.2,3.8,50000,Diesel,Manual,2nd Owner,2017,1186,5
117,117,Tata Harrier XZAS,21.0,32000,Diesel,Automatic,1st Owner,2021,1956,5
118,118,Hyundai i10 Era,2.61,120000,Petrol,Manual,2nd Owner,2012,1086,5
119,119,Land Rover Discovery,1.1,33000,Petrol,Automatic,1st Owner,2021,1997,7
120,120,Mini 3 DOOR,42.0,6900,Petrol,Automatic,1st Owner,2019,1998,4
121,121,Tata Harrier XZA,22.5,4500,Diesel,Automatic,1st Owner,2022,1956,5
122,122,Volvo S90 D4,42.0,51000,Diesel,Automatic,1st Owner,2018,1969,5
123,123,Kia Seltos GTX,19.75,12000,Diesel,Automatic,1st Owner,2022,1493,5
124,124,Maruti Vitara Brezza,9.5,37000,Diesel,Manual,1st Owner,2018,1248,5
125,125,Hyundai Verna SX,14.51,35000,Diesel,Manual,1st Owner,2021,1493,5
126,126,Maruti Wagon R,3.0,80000,Petrol,Manual,2nd Owner,2016,998,5
127,127,Hyundai Grand i10,4.6,60000,Petrol,Manual,1st Owner,2016,1197,5
128,128,Honda Amaze VX,9.15,10000,Petrol,Automatic,1st Owner,2022,1199,5
129,129,Maruti Ignis Zeta,5.5,59385,Petrol,Automatic,1st Owner,2019,1197,5
130,130,Jaguar XF 3.0,17.0,51000,Diesel,Automatic,2nd Owner,2012,2993,5
131,131,Mahindra XUV500 AT,9.9,74000,Diesel,Automatic,1st Owner,2017,1997,7
132,132,Tata Nexon 1.2,8.51,29000,Petrol,Automatic,1st Owner,2020,1198,5
133,133,Jeep Compass Model,27.5,12200,Diesel,Automatic,1st Owner,2021,1956,5
134,134,Hyundai Grand i10,5.5,40000,Petrol,Automatic,3rd Owner,2019,1197,5
135,135,Hyundai Verna CRDi,9.51,58000,Diesel,Manual,1st Owner,2018,1582,5
136,136,Toyota Innova Crysta,19.9,75000,Diesel,Automatic,2nd Owner,2019,2755,7
137,137,Land Rover Discovery,35.5,72000,Diesel,Automatic,1st Owner,2018,1999,7
138,138,Ford Aspire 1.2,5.5,23400,Petrol,Manual,1st Owner,2017,1196,5
139,139,Ford Aspire 1.2,3.9,59300,Petrol,Manual,1st Owner,2017,1196,5
140,140,Hyundai Creta 1.4,8.9,72000,Diesel,Manual,1st Owner,2016,1396,5
141,141,Maruti Swift Dzire,4.51,67000,Diesel,Manual,1st Owner,2017,1248,5
142,142,Honda Amaze S,7.25,33500,Petrol,Automatic,1st Owner,2018,1199,5
143,143,Hyundai Creta SX,12.75,17000,Petrol,Manual,2nd Owner,2021,1497,5
144,144,Volkswagen Ameo 1.5,6.9,33000,Diesel,Automatic,1st Owner,2016,1498,5
145,145,Volkswagen Polo GT,6.75,49000,Petrol,Automatic,1st Owner,2015,1197,5
146,146,Hyundai Grand i10,5.65,26000,Petrol,Automatic,1st Owner,2015,1197,5
147,147,Hyundai Venue SX,10.0,14500,Petrol,Manual,1st Owner,2020,998,5
148,148,Kia Seltos GTX,19.75,10000,Diesel,Automatic,1st Owner,2022,1493,5
149,149,MG Hector Plus,17.0,15001,Petrol,Automatic,1st Owner,2020,1451,6
150,150,Skoda Octavia Elegance,9.75,55000,Petrol,Automatic,2nd Owner,2015,1798,5
151,151,Toyota Corolla Altis,6.5,38000,Petrol,Manual,1st Owner,2013,1798,5
152,152,Ford Endeavour 4x4,4.0,110000,Diesel,Manual,2nd Owner,2005,2953,7
153,153,Honda Amaze S,4.75,65413,Petrol,Automatic,1st Owner,2013,1198,5
154,154,Honda Jazz Mode,2.8,45000,Petrol,Manual,2nd Owner,2009,1198,5
155,155,Ford Figo 1.2P,4.3,44000,Petrol,Manual,1st Owner,2017,1196,5
156,156,Hyundai Grand i10,4.9,40000,Petrol,Manual,1st Owner,2017,1197,5
157,157,Ford Ecosport 1.5,6.51,49000,Petrol,Automatic,1st Owner,2016,1496,5
158,158,Mahindra Thar LX,17.51,19000,Diesel,Automatic,1st Owner,2022,2184,4
159,159,Hyundai i20 Magna,3.91,56000,Diesel,Manual,2nd Owner,2013,1396,5
160,160,Honda City 1.5,3.75,65000,Petrol,Manual,2nd Owner,2010,1497,5
161,161,Toyota Etios G,4.9,27680,Petrol,Manual,1st Owner,2013,1496,5
162,162,Kia Seltos GTX,18.25,27305,Diesel,Automatic,1st Owner,2021,1493,5
163,163,BMW 3 Series,33.0,10793,Diesel,Automatic,1st Owner,2019,1995,5
164,164,BMW X3 xDrive,56.0,12000,Diesel,Automatic,1st Owner,2020,1995,5
165,165,MG Hector Sharp,14.99,44000,Petrol,Automatic,1st Owner,2019,1451,5
166,166,Kia Seltos HTK,11.99,63000,Petrol,Manual,1st Owner,2020,1497,5
167,167,Hyundai i20 Sportz,6.5,87000,Diesel,Manual,1st Owner,2019,1396,5
168,168,Maruti Alto LXi,1.9,61000,Petrol,Manual,1st Owner,2010,796,5
169,169,Hyundai i20 Sportz,6.25,72000,Diesel,Manual,1st Owner,2016,1396,5
170,170,Audi A4 2.0,16.51,70000,Diesel,Automatic,1st Owner,2015,1968,5
171,171,Nissan Micra Diesel,2.25,58000,Diesel,Manual,2nd Owner,2012,1461,5
172,172,Honda Jazz Active,1.3,90000,Petrol,Manual,3rd Owner,2009,1198,5
173,173,Honda City VX,12.5,19000,Petrol,Manual,1st Owner,2022,1497,5
174,174,Toyota Corolla Altis,9.25,72159,Petrol,Automatic,1st Owner,2014,1798,5
175,175,Ford Ecosport 1.5,5.9,78000,Diesel,Manual,1st Owner,2015,1498,5
176,176,Ford Ecosport 1.5,6.9,58000,Diesel,Manual,1st Owner,2018,1498,5
177,177,Ford Ecosport 1.5,8.9,72000,Diesel,Manual,1st Owner,2018,1498,5
178,178,Land Rover Range,42.5,56000,Diesel,Automatic,1st Owner,2018,1999,5
179,179,Nissan Micra Diesel,2.9,73000,Diesel,Manual,1st Owner,2012,1461,5
180,180,Hyundai Creta 1.6,8.9,28840,Petrol,Manual,1st Owner,2016,1591,5
181,181,Maruti Swift Dzire,6.9,51500,Petrol,Automatic,1st Owner,2019,1197,5
182,182,Maruti S-Presso VXI,4.8,41370,Petrol,Automatic,1st Owner,2020,998,5
183,183,Hyundai Creta 1.6,8.75,41266,Petrol,Manual,1st Owner,2016,1591,5
184,184,Hyundai Verna VTVT,9.9,31740,Petrol,Automatic,1st Owner,2018,1591,5
185,185,Maruti Ciaz VXi,6.15,77876,Petrol,Manual,1st Owner,2015,1373,5
186,186,Skoda Kushaq 1.5,20.5,9500,Petrol,Manual,1st Owner,2022,1498,5
187,187,Hyundai Grand i10,6.25,28387,Petrol,Automatic,1st Owner,2019,1197,5
188,188,Mercedes-Benz M-Class ML,27.0,120000,Diesel,Automatic,2nd Owner,2015,2987,5
189,189,Hyundai Grand i10,4.5,20000,Petrol,Manual,2nd Owner,2017,1197,5
190,190,Mercedes-Benz C-Class Progressive,42.5,30686,Diesel,Automatic,1st Owner,2020,1950,5
191,191,Tata Indica eV2,1.0,120000,Diesel,Manual,2nd Owner,2013,1396,5
192,192,Mahindra Bolero Power,6.0,184000,Diesel,Manual,2nd Owner,2018,1493,7
193,193,Honda City 1.5,4.0,40000,Petrol,Automatic,1st Owner,2009,1497,5
194,194,Maruti Ciaz Delta,6.25,55000,Diesel,Manual,1st Owner,2015,1248,5
195,195,Hyundai Grand i10,5.75,38000,Petrol,Manual,1st Owner,2019,1197,5
196,196,Audi Q3 30,23.5,40000,Petrol,Automatic,1st Owner,2017,1395,5
197,197,Hyundai Santro GS,1.35,60000,Petrol,Manual,2nd Owner,2006,999,5
198,198,Mahindra Bolero SLX,3.0,110000,Diesel,Manual,3rd Owner,2009,2523,7
199,199,Maruti Swift LDI,2.1,143000,Diesel,Manual,2nd Owner,2011,1248,5
200,200,Tata Indica Aqua,1.25,110000,Diesel,Manual,3rd Owner,2012,1248,5
201,201,Mahindra KUV 100,4.75,58000,Diesel,Manual,1st Owner,2017,1198,6
202,202,Honda City i,5.5,65000,Petrol,Manual,2nd Owner,2014,1497,5
203,203,Tata Harrier XZ,17.0,50000,Diesel,Manual,1st Owner,2021,1956,5
204,204,Tata Zest Revotron,3.49,55000,Petrol,Manual,1st Owner,2015,1193,5
205,205,Land Rover Discovery,70.0,19500,Diesel,Automatic,1st Owner,2021,1999,7
206,206,Mahindra XUV500 AT,9.25,78000,Diesel,Automatic,2nd Owner,2016,2179,7
207,207,Honda City V,3.9,58000,Petrol,Manual,1st Owner,2010,1497,5
208,208,Mahindra XUV500 W10,10.25,91000,Diesel,Manual,1st Owner,2017,2179,7
209,209,Mahindra XUV500 AT,11.25,30000,Diesel,Automatic,1st Owner,2016,1997,7
210,210,Maruti Baleno 1.2,7.25,44153,Petrol,Manual,1st Owner,2018,1197,5
211,211,Mercedes-Benz C-Class C,34.5,21000,Diesel,Automatic,1st Owner,2018,2143,5
212,212,Kia Seltos HTX,14.0,19000,Petrol,Manual,1st Owner,2020,1497,5
213,213,Hyundai Alcazar Signature,19.5,27300,Diesel,Automatic,1st Owner,2021,1493,6
214,214,Skoda Superb Laurin,34.0,31001,Petrol,Automatic,1st Owner,2021,1984,5
215,215,Renault KWID 1.0,3.1,50000,Petrol,Manual,1st Owner,2017,999,5
216,216,Maruti Wagon R,1.3,77000,Petrol,Manual,2nd Owner,2005,998,5
217,217,Maruti Swift Dzire,6.5,53000,Petrol,Automatic,1st Owner,2018,1197,5
218,218,Datsun RediGO S,2.75,20000,Petrol,Manual,1st Owner,2017,799,5
219,219,Honda Brio S,3.5,72000,Petrol,Manual,1st Owner,2013,1198,5
220,220,Hyundai Creta 1.6,8.9,26000,Petrol,Manual,1st Owner,2016,1591,5
221,221,Honda Amaze S,4.25,66000,Diesel,Manual,1st Owner,2015,1498,5
222,222,Jaguar XF 2.2,22.0,69619,Diesel,Automatic,1st Owner,2014,2179,5
223,223,Maruti Alto K10,4.3,30000,Petrol,Automatic,1st Owner,2018,998,5
224,224,Maruti Wagon R,2.11,61000,Petrol,Manual,1st Owner,2009,1061,5
225,225,Renault Duster 110PS,9.75,31000,Diesel,Automatic,1st Owner,2018,1461,5
226,226,Volkswagen Polo GT,6.25,66000,Petrol,Automatic,1st Owner,2015,1197,5
227,227,Land Rover Discovery,72.0,7700,Petrol,Automatic,1st Owner,2021,1997,7
228,228,Mahindra XUV700 AX3,17.5,9000,Petrol,Automatic,1st Owner,2022,1999,5
229,229,Tata Tigor 1.2,3.4,60000,Petrol,Manual,2nd Owner,2017,1199,5
230,230,Skoda Fabia 1.2,1.1,110000,Petrol,Manual,3rd Owner,2009,1198,5
231,231,Kia Seltos HTX,16.75,51001,Diesel,Automatic,1st Owner,2020,1493,5
232,232,Jeep Compass 2.0,21.0,56207,Diesel,Automatic,1st Owner,2020,1956,5
233,233,Mercedes-Benz GLA Class,26.9,58000,Diesel,Automatic,1st Owner,2019,2143,5
234,234,Hyundai i20 Diesel,6.5,73290,Diesel,Manual,1st Owner,2018,1396,5
235,235,Hyundai Verna 1.6,7.9,44283,Diesel,Manual,1st Owner,2017,1582,5
236,236,Maruti Celerio VXI,4.25,48000,Petrol,Automatic,1st Owner,2016,998,5
237,237,Honda City 1.5,3.4,107500,Petrol,Manual,3rd Owner,2010,1497,5
238,238,Maruti Swift 1.3,5.5,80000,Petrol,Manual,3rd Owner,2007,1298,5
239,239,Maruti SX4 Celebration,2.0,90000,Petrol,Manual,2nd Owner,2009,1586,5
240,240,Maruti Vitara Brezza,7.75,10000,Petrol,Manual,1st Owner,2021,1462,5
241,241,Maruti Wagon R,2.15,120000,Petrol,Manual,1st Owner,2011,998,5
242,242,Maruti Wagon R,2.37,120000,Petrol,Manual,1st Owner,2011,998,5
243,243,Maruti Zen LX,5.5,90000,Petrol,Manual,3rd Owner,2002,993,5
244,244,Mahindra KUV 100,4.25,46000,Petrol,Manual,1st Owner,2018,1198,6
245,245,Nissan Sunny XL,5.75,28000,Diesel,Manual,1st Owner,2017,1461,5
246,246,Honda WR-V SV,8.25,24000,Petrol,Manual,1st Owner,2020,1199,5
247,247,Honda WR-V i-VTEC,6.9,23000,Petrol,Manual,1st Owner,2018,1199,5
248,248,Honda WR-V i-VTEC,7.75,24300,Petrol,Manual,1st Owner,2018,1199,5
249,249,Honda WR-V i-VTEC,7.9,51000,Petrol,Manual,1st Owner,2019,1199,5
250,250,Kia Seltos GTX,14.9,6000,Petrol,Automatic,1st Owner,2020,1353,5
251,251,Kia Seltos GTX,17.25,12600,Petrol,Automatic,1st Owner,2021,1353,5
252,252,Jeep Meridian Limited,37.0,3500,Diesel,Automatic,1st Owner,2022,1956,7
253,253,Hyundai i10 Era,2.3,120000,Petrol,Manual,1st Owner,2011,1086,5
254,254,Hyundai Grand i10,7.5,5000,Cng,Manual,1st Owner,2022,1197,5
255,255,Hyundai Santro Xing,1.35,120000,Petrol,Manual,4th Owner,2010,1086,5
256,256,Honda Jazz V,6.95,40000,Petrol,Automatic,1st Owner,2018,1199,5
257,257,Honda City i-VTEC,7.85,96000,Petrol,Manual,1st Owner,2018,1497,5
258,258,Honda City 1.5,3.25,67000,Petrol,Manual,2nd Owner,2010,1497,5
259,259,Honda City i-VTEC,7.9,72000,Petrol,Manual,1st Owner,2018,1497,5
260,260,Hyundai i10 Magna,3.21,89000,Petrol,Manual,1st Owner,2013,1197,5
261,261,Volkswagen Polo Diesel,3.3,64000,Diesel,Manual,1st Owner,2011,1199,5
262,262,Maruti Swift Vdi,2.0,120000,Diesel,Manual,3rd Owner,2010,1248,5
263,263,Honda Jazz 1.2,5.4,42000,Petrol,Manual,1st Owner,2017,1199,5
264,264,Datsun RediGO T,2.7,55000,Petrol,Manual,1st Owner,2017,799,5
265,265,Hyundai Santro Era,4.95,30000,Petrol,Manual,1st Owner,2019,1086,5
266,266,Tata Hexa XTA,10.0,86500,Diesel,Automatic,2nd Owner,2017,2179,7
267,267,Honda CR-V 2.4L,10.5,59000,Petrol,Automatic,1st Owner,2014,2354,5
268,268,Hyundai EON Era,3.1,15000,Petrol,Manual,1st Owner,2018,814,5
269,269,Mahindra Scorpio S7,12.0,70000,Diesel,Manual,1st Owner,2019,2179,7
270,270,Volkswagen Polo ALLSTAR,6.0,50000,Petrol,Manual,2nd Owner,2017,1198,5
271,271,Chevrolet Cruze LT,3.0,110000,Diesel,Manual,1st Owner,2012,1991,5
272,272,Tata Nexon XMA,9.25,13700,Petrol,Automatic,1st Owner,2021,1199,5
273,273,Maruti Swift VXI,5.7,25000,Petrol,Manual,1st Owner,2019,1197,5
274,274,Ford Ecosport Sports,11.0,20000,Diesel,Manual,1st Owner,2021,1498,5
275,275,Jaguar XF 2.2,18.0,70000,Diesel,Automatic,2nd Owner,2014,2179,5
276,276,Tata Indica TDI,1.0,35000,Diesel,Manual,3rd Owner,2013,1405,5
277,277,Toyota Fortuner 4X4,43.5,26629,Diesel,Automatic,1st Owner,2021,2755,7
278,278,Mercedes-Benz C-Class Progressive,46.5,20000,Diesel,Automatic,1st Owner,2019,1950,5
279,279,Mercedes-Benz GLC Progressive,53.95,33000,Diesel,Automatic,1st Owner,2019,2143,5
280,280,BMW 3 Series,61.75,25000,Petrol,Automatic,1st Owner,2021,1998,5
281,281,Audi Q3 30,27.95,55291,Diesel,Manual,1st Owner,2017,1968,5
282,282,Mercedes-Benz C-Class C,16.5,58500,Diesel,Automatic,1st Owner,2013,2143,5
283,283,Audi Q7 45,72.5,15000,Diesel,Automatic,1st Owner,2018,2967,7
284,284,Renault Duster 85PS,6.5,90000,Diesel,Manual,1st Owner,2014,1461,5
285,285,Audi Q3 35,13.0,64000,Diesel,Automatic,2nd Owner,2012,1968,5
286,286,Maruti Zen LXI,4.0,132596,Petrol,Manual,2nd Owner,2004,993,5
287,287,Maruti Swift VXI,1.54,99673,Petrol,Manual,3rd Owner,2008,1298,5
288,288,Tata Nexon EV,4.18,24374,Electric,Automatic,1st Owner,2021,0,5
289,289,Volkswagen Vento Petrol,3.92,69828,Petrol,Automatic,3rd Owner,2011,1598,5
290,290,Maruti Baleno 1.2,5.94,72820,Petrol,Manual,2nd Owner,2016,1197,5
291,291,Mercedes-Benz C-Class Progressive,37.24,20785,Diesel,Automatic,1st Owner,2019,1950,5
292,292,Maruti Swift Dzire,5.88,31172,Petrol,Automatic,2nd Owner,2016,1197,5
293,293,Hyundai Grand i10,4.52,24395,Petrol,Manual,1st Owner,2016,1197,5
294,294,MG Hector Sharp,18.25,11050,Petrol,Automatic,1st Owner,2021,1451,5
295,295,Toyota Innova 2.5,7.74,123394,Diesel,Manual,2nd Owner,2013,2494,7
296,296,Maruti Swift ZDi,4.21,105053,Diesel,Manual,2nd Owner,2013,1248,5
297,297,Hyundai i20 Sportz,8.44,10283,Petrol,Manual,1st Owner,2021,1197,5
298,298,Tata Harrier XZ,21.99,2443,Diesel,Manual,1st Owner,2022,1956,5
299,299,Toyota Fortuner 2.7,31.0,44000,Petrol,Automatic,2nd Owner,2019,2694,7
300,300,Audi Q5 3.0,9.95,68000,Diesel,Automatic,3rd Owner,2011,2967,5
